,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2001,Hills,679.0,6.67,24.0,527.0,51477.0,105800.0,18.0,96.91,0.44,1.18,0.0,1.03,0.0,70.0,1.0,1.0,0.99,0.99
1,2002,Hills,679.0,6.67,24.0,527.0,51477.0,105800.0,18.0,96.91,0.44,1.18,0.0,1.03,0.0,70.0,1.0,1.0,1.93,1.94
2,2003,Hills,679.0,6.67,24.0,527.0,51477.0,105800.0,18.0,96.91,0.44,1.18,0.0,1.03,0.0,71.0,3.0,3.0,3.82,3.85
3,2004,Hills,679.0,6.67,24.0,527.0,51477.0,105800.0,18.0,96.91,0.44,1.18,0.0,1.03,0.0,72.0,4.0,3.0,3.75,5.62
4,2005,Hills,539.0,5.92,17.33,690.0,64375.0,154200.0,20.8,100.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,1.0,1.87,4.65
5,2006,Hills,539.0,5.92,17.33,690.0,64375.0,154200.0,20.8,100.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,1.0,1.85,1.85
6,2007,Hills,539.0,5.92,17.33,690.0,64375.0,154200.0,20.8,100.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,2.0,2.73,2.73
7,2008,Hills,539.0,5.92,17.33,690.0,64375.0,154200.0,20.8,100.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,1.0,1.81,1.81
8,2009,Hills,539.0,5.92,17.33,690.0,64375.0,154200.0,20.8,100.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,1.0,0.9,0.9
9,2010,Hills,703.0,17.06,25.08,748.0,63750.0,150700.0,19.0,92.32,0.28,3.98,0.0,1.28,0.0,76.0,1.0,1.0,0.89,0.89
10,2011,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,78.0,1.0,1.0,0.02,0.89
11,2012,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,80.0,1.0,1.0,1.68,1.68
12,2013,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,83.0,1.0,1.0,1.63,1.63
13,2014,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,86.0,1.0,1.0,0.8,0.81
14,2015,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,88.0,1.0,1.0,0.77,0.78
15,2016,Hills,810.0,17.84,39.25,966.0,50417.0,148800.0,33.8,84.44,6.05,0.0,0.62,0.0,0.0,90.0,1.0,1.0,1.48,1.49
