,City,Poverty Rate,Renter Rate,Median Rent,Median Income,Rent Burden,Eviction Rate,Filing Rate,Samples,Lat,Lon
0,"Afton, IA",10.218235294117648,32.839999999999996,360.29411764705884,34489.41176470588,20.49411764705882,1.1823529411764706,1.3176470588235296,17,41.028059999999996,-94.19694
1,"Agency, IA",3.995,21.00375,385.1875,36915.25,20.375,1.8937499999999998,2.12875,16,40.99556,-92.3075
2,"Ainsworth, IA",8.037058823529414,25.36235294117647,463.7647058823529,45636.294117647056,19.823529411764707,0.9405882352941176,1.2488235294117647,17,41.290279999999996,-91.55417
3,"Albert City, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.78083,-94.95056
4,"Albia, IA",11.10235294117647,33.419411764705885,524.5294117647059,36130.294117647056,28.488235294117644,0.7811764705882354,0.9976470588235294,17,41.02667,-92.80528000000001
5,"Albion, IA",6.063749999999999,11.585625,611.125,44711.5,23.1375,2.9,2.9,16,42.111670000000004,-92.99083
6,"Allerton, IA",12.327058823529413,19.644117647058824,350.47058823529414,33837.23529411765,23.876470588235293,0.501764705882353,0.501764705882353,17,40.70722,-93.36721999999999
7,"Altoona, IA",5.135625000000001,27.3375,692.375,62662.5625,24.6,2.573125,7.19125,16,41.65,-93.4725
8,"Anita, IA",8.508823529411764,25.451176470588237,437.29411764705884,35714.35294117647,25.08235294117647,0.6258823529411766,0.7876470588235295,17,41.446670000000005,-94.76556
9,"Atkins, IA",2.666470588235294,11.83235294117647,459.5882352941176,72045.5294117647,20.81764705882353,0.8588235294117647,1.3729411764705883,17,41.99472,-91.86111
10,"Audubon, IA",10.51941176470588,19.23529411764706,454.3529411764706,36401.94117647059,20.352941176470587,0.5129411764705882,0.6911764705882353,17,41.720279999999995,-94.92833
11,"Bancroft, IA",7.637058823529411,22.951764705882354,410.05882352941177,40761.117647058825,26.22941176470588,1.0299999999999998,1.5794117647058825,17,43.29278,-94.21694000000001
12,"Batavia, IA",8.700588235294118,21.21588235294118,569.7058823529412,39583.0,24.93529411764706,0.6252941176470588,0.7217647058823529,17,40.9975,-92.16778000000001
13,"Battle Creek, IA",8.387058823529413,24.735882352941175,418.3529411764706,35736.882352941175,21.58823529411765,0.25,0.37529411764705883,17,42.31694,-95.59944
14,"Bayard, IA",16.679411764705883,22.109411764705882,419.3529411764706,36229.529411764706,28.470588235294116,0.4235294117647058,0.6923529411764705,17,41.85222,-94.55722
15,"Bedford, IA",10.333529411764706,23.998823529411766,452.94117647058823,33704.76470588235,25.558823529411764,0.2752941176470588,0.40235294117647064,17,40.66833,-94.72111
16,"Bloomfield, IA",8.742941176470588,28.908823529411762,477.2352941176471,39558.17647058824,23.84705882352941,0.5541176470588235,0.6876470588235295,17,40.75111,-92.41694
17,"Buffalo Center, IA",9.5075,21.264375,475.4375,34018.625,21.237499999999997,0.28562499999999996,0.35687499999999994,16,43.386390000000006,-93.94833
18,"Calmar, IA",10.214117647058822,29.802941176470586,481.11764705882354,40402.294117647056,19.86470588235294,0.1811764705882353,0.24529411764705888,17,43.181940000000004,-91.86639
19,"Center Point, IA",1.699375,17.536875000000002,570.8125,65493.0625,21.20625,0.860625,1.648125,16,42.19056,-91.7825
20,"Chariton, IA",12.865882352941176,31.74588235294118,416.1764705882353,32047.823529411766,26.552941176470586,0.641764705882353,0.8482352941176471,17,41.01611,-93.3075
21,"Cherokee, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.75,-95.55
22,"Clarence, IA",7.540588235294119,28.93,520.6470588235294,41904.94117647059,26.164705882352944,0.2247058823529412,0.3947058823529412,17,41.88778,-91.05917
23,"Clarinda, IA",12.541176470588235,30.25941176470588,455.4117647058824,38652.470588235294,23.441176470588236,0.8741176470588234,0.9476470588235294,17,40.7375,-95.03583
24,"Colo, IA",6.358750000000001,21.8575,633.5625,47495.9375,20.925,1.23125,2.4681250000000006,16,42.016940000000005,-93.3175
25,"Columbus Junction, IA",12.555882352941175,34.67,509.6470588235294,43374.0,24.205882352941178,0.5123529411764707,0.6864705882352942,17,41.27833,-91.3625
26,"Corning, IA",8.26941176470588,30.640588235294118,373.0,34813.82352941176,22.75294117647059,0.4747058823529412,0.5141176470588236,17,40.99139,-94.73694
27,"Correctionville, IA",14.641875,15.86,450.9375,36221.8125,30.5,1.0118749999999999,1.208125,16,42.47667,-95.78472
28,"Denison, IA",12.896470588235292,33.561764705882354,468.1764705882353,41103.23529411765,23.935294117647057,0.4970588235294117,0.6499999999999999,17,42.01722,-95.35110999999999
29,"Donnellson, IA",7.675625,32.09,493.0625,38891.625,20.35625,0.6875,0.8456250000000001,16,40.64333,-91.565
30,"Dumont, IA",11.251176470588236,21.595294117647057,433.7647058823529,37652.35294117647,22.758823529411764,0.7152941176470589,0.9805882352941178,17,42.74944,-92.97222
31,"Eagle Grove, IA",8.594375,26.811875,526.625,37842.1875,27.99375,0.929375,1.1593749999999998,16,42.665,-93.9025
32,"Elgin, IA",8.217058823529412,27.01529411764706,483.3529411764706,35440.705882352944,28.211764705882352,0.31941176470588234,0.5764705882352942,17,42.95583,-91.63639
33,"Elk Horn, IA",4.43,16.428823529411765,390.0,41078.882352941175,27.423529411764704,0.3511764705882353,0.5241176470588236,17,41.59278,-95.05972
34,"Elma, IA",9.894705882352941,26.081176470588236,510.1764705882353,33862.882352941175,18.06470588235294,0.521764705882353,0.7347058823529413,17,43.24556,-92.43861
35,"Epworth, IA",4.835,17.778125,564.25,57964.75,19.30625,0.8243749999999999,1.024375,16,42.44583,-90.93111
36,"Estherville, IA",9.738823529411766,28.730000000000004,493.94117647058823,38868.17647058824,26.511764705882353,0.7794117647058824,0.9123529411764707,17,43.40444,-94.83361
37,"Everly, IA",9.314705882352941,22.441176470588236,555.6470588235294,44144.17647058824,24.323529411764707,0.35352941176470587,0.6188235294117647,17,43.15972,-95.32528
38,"Farmington, IA",10.728823529411766,26.982941176470586,432.11764705882354,34087.117647058825,23.58823529411765,0.19117647058823528,0.3135294117647059,17,40.633,-91.73299999999999
39,"Fontanelle, IA",4.944117647058824,20.13705882352941,460.8235294117647,35263.117647058825,20.1,0.15705882352941175,0.15705882352941175,17,41.29,-94.56222
40,"Fruitland, IA",3.895625,5.261875,622.0625,71171.25,37.61875,6.421250000000001,9.06375,16,41.35222,-91.12611
41,"Garnavillo, IA",7.590588235294117,18.898235294117647,500.11764705882354,41058.41176470588,25.24705882352941,0.34529411764705875,0.34529411764705875,17,42.86694,-91.23611
42,"George, IA",5.372352941176471,21.555882352941175,472.05882352941177,40571.35294117647,24.870588235294118,0.36764705882352944,0.4988235294117647,17,43.3425,-96.00111
43,"Gilbertville, IA",2.7800000000000002,20.168125000000003,519.9375,45381.5,23.61875,2.46,2.825625,16,42.41722,-92.21389
44,"Glidden, IA",6.298125,20.91375,409.9375,47718.875,22.11875,0.99,1.2512500000000002,16,42.05833,-94.72833
45,"Gowrie, IA",7.483124999999999,27.473750000000003,509.75,42145.125,20.7375,1.1124999999999998,1.160625,16,42.279720000000005,-94.29139
46,"Graettinger, IA",7.737058823529412,24.78235294117647,388.0,36743.35294117647,22.5,0.8041176470588234,1.256470588235294,17,43.23806,-94.75111
47,"Grand Mound, IA",2.705,15.83125,543.375,51899.5625,25.3125,1.205,1.2774999999999999,16,41.82417,-90.64694
48,"Hamburg, IA",13.610588235294117,34.86470588235294,464.29411764705884,31542.176470588234,26.247058823529407,0.618235294117647,0.7652941176470588,17,40.60583,-95.655
49,"Hartford, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.459720000000004,-93.40222
50,"Hartley, IA",8.386470588235294,22.709411764705884,504.29411764705884,39146.35294117647,23.852941176470587,0.44999999999999996,0.588235294117647,17,43.181940000000004,-95.47639000000001
51,"Hills, IA",11.27375,27.701875,756.375,55877.1875,24.862499999999997,1.6825,2.031875,16,41.556940000000004,-91.535
