,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2001,Le Claire,2847.0,5.13,19.75,456.0,45644.0,89600.0,22.3,96.17,0.21,2.21,0.07,0.42,0.0,227.0,7.0,7.0,3.14,3.14
1,2002,Le Claire,2847.0,5.13,19.75,456.0,45644.0,89600.0,22.3,96.17,0.21,2.21,0.07,0.42,0.0,231.0,6.0,6.0,2.6,2.6
2,2003,Le Claire,2847.0,5.13,19.75,456.0,45644.0,89600.0,22.3,96.17,0.21,2.21,0.07,0.42,0.0,235.0,4.0,3.0,1.28,1.75
3,2004,Le Claire,2847.0,5.13,19.75,456.0,45644.0,89600.0,22.3,96.17,0.21,2.21,0.07,0.42,0.0,239.0,16.0,12.0,5.07,6.75
4,2005,Le Claire,3326.0,6.98,17.81,531.0,57206.0,138200.0,27.4,98.23,0.27,0.0,0.0,0.0,0.0,243.0,14.0,8.0,3.34,5.8
5,2006,Le Claire,3326.0,6.98,17.81,531.0,57206.0,138200.0,27.4,98.23,0.27,0.0,0.0,0.0,0.0,247.0,5.0,5.0,2.07,2.12
6,2007,Le Claire,3326.0,6.98,17.81,531.0,57206.0,138200.0,27.4,98.23,0.27,0.0,0.0,0.0,0.0,252.0,13.0,8.0,3.18,5.17
7,2008,Le Claire,3326.0,6.98,17.81,531.0,57206.0,138200.0,27.4,98.23,0.27,0.0,0.0,0.0,0.0,256.0,6.0,6.0,2.35,2.35
8,2009,Le Claire,3326.0,6.98,17.81,531.0,57206.0,138200.0,27.4,98.23,0.27,0.0,0.0,0.0,0.0,260.0,7.0,7.0,2.74,2.74
9,2014,Le Claire,3888.0,2.56,19.39,691.0,77127.0,206800.0,22.2,92.44,1.98,3.52,0.23,0.0,0.0,278.0,9.0,4.0,1.48,3.28
10,2015,Le Claire,3888.0,2.56,19.39,691.0,77127.0,206800.0,22.2,92.44,1.98,3.52,0.23,0.0,0.0,281.0,10.0,3.0,1.07,3.64
11,2016,Le Claire,3888.0,2.56,19.39,691.0,77127.0,206800.0,22.2,92.44,1.98,3.52,0.23,0.0,0.0,285.0,3.0,1.0,0.39,1.1
