Mon May 07 22:40:46 +0000 2018	@lacijocooper I AM SO PROUD
Mon May 07 22:38:50 +0000 2018	@tbailey5477 @rickbkylex @POTUS  https://t.co/8jZaCrYz5o
Mon May 07 22:38:12 +0000 2018	@scruickshank01 @rickbkylex  https://t.co/tCHGib4cVw
Mon May 07 22:37:18 +0000 2018	@scruickshank01 @rickbkylex  https://t.co/Y3B3Lzbykd
Mon May 07 22:33:39 +0000 2018	@IAGovernor fuck off kim. you don't know what iowans want. stop living with your head up your ass and keep your horrendous "faith" out of it
Mon May 07 22:32:23 +0000 2018	It’s so hard to watch someone change into someone you no longer know..
Mon May 07 22:31:43 +0000 2018	RT @scstormfootball: Great turnout for Junior Day 2018 #TheTakeover18 https://t.co/o7TGlLjM6h
Mon May 07 22:31:10 +0000 2018	@hankgreen It’s sometimes hard to find creators that have a small audience
Mon May 07 22:24:01 +0000 2018	5 baby announcements on my TL today so I’m suing Facebook and staying in Spain.
Mon May 07 22:23:43 +0000 2018	@NWCIA_Softball Your crowd just started breathing again. Carry on. Make something happen, would ya? 😉😉
Mon May 07 22:17:53 +0000 2018	i just contemplated whether it’s spelled barbecue or barbeque for like 10 minutes https://t.co/QX6uNFFXr8
Mon May 07 22:17:17 +0000 2018	KC barbeque*** https://t.co/BexIKd330o
Mon May 07 22:16:31 +0000 2018	@MichLKosinski Priceless
Mon May 07 22:09:57 +0000 2018	RT @BenK_32: S/O to Polasky for telling us about Yerkes-Dodson Law cuz otherwise I would not have done well on that exam.
Mon May 07 22:07:30 +0000 2018	Did you ever get mad in school when one kid did something wrong and everyone got punished? Yeah that’s america right now...
