Sun May 06 00:58:19 +0000 2018	Listen to me sing "strawberry wine" on #Smule: https://t.co/E8Ca3CljOg #SingBySmule
Sat May 05 00:06:16 +0000 2018	Finally. https://t.co/l1qnp7OjiZ
Thu May 03 16:33:05 +0000 2018	@LEAADFarms Judith’s Money Pit. 4.5 acres around my moms new house.
Wed May 02 18:25:38 +0000 2018	RT @lawleria: As it turns out, any planter can be a “high speed “ planter when the sky lets loose and you’re on far end of the field. https…
Wed May 02 04:04:01 +0000 2018	RT @lawleria: As it turns out, any planter can be a “high speed “ planter when the sky lets loose and you’re on far end of the field. https…
Wed May 02 01:42:08 +0000 2018	@noharmon03 Seed tender? Never heard of her. https://t.co/ZBfC6xnOSz
Wed May 02 00:11:19 +0000 2018	RT @lawleria: As it turns out, any planter can be a “high speed “ planter when the sky lets loose and you’re on far end of the field. https…
Tue May 01 23:57:48 +0000 2018	As it turns out, any planter can be a “high speed “ planter when the sky lets loose and you’re on far end of the fi… https://t.co/skW63HCc3C
Tue May 01 02:03:42 +0000 2018	I found this awesome recording of "I Have Nothing (Lower Key)" on #Smule: https://t.co/3pvROcikFZ #SingBySmule
Mon Apr 30 19:02:45 +0000 2018	RT @lawleria: The neighbor picked that corn yesterday. https://t.co/JTZ5zmhzSi
Mon Apr 30 18:37:39 +0000 2018	The neighbor picked that corn yesterday. https://t.co/JTZ5zmhzSi
Mon Apr 30 14:35:42 +0000 2018	Seed Tender? Never heard of her. https://t.co/nE3F1LWJI4
Sat Apr 28 00:44:22 +0000 2018	@robertreese_4 Gotta have more up front so I can steer the planter down the road.
Sat Apr 28 00:30:29 +0000 2018	Am I the only one who still switches front wheels from “turns decent “ to “kinda stays between rows” and back every… https://t.co/m85YYkU2ux
Sat Apr 28 00:07:59 +0000 2018	I found this awesome recording of "Love Me Like You Do - acoustic" on #Smule: https://t.co/LhpAofEh9j #SingBySmule
