Mon May 07 21:20:53 +0000 2018	@PokemonGoApp 10 pokemon with weather boost
Mon May 07 18:55:10 +0000 2018	Report: Apple iPhone X is World’s Best Selling Smartphone https://t.co/nQDYpc2S2O
Mon May 07 18:45:55 +0000 2018	Pages of the Past…Canceled https://t.co/tNnUVTYaGg
Mon May 07 18:39:03 +0000 2018	@DianePtw3 I will check!
Mon May 07 17:32:20 +0000 2018	Today went well. Glad to work for such a great company https://t.co/EvVttXjaJj
Mon May 07 16:55:11 +0000 2018	FCC Certifies Samsung Fixed 5G Router, Paving Way for Verizon Fixed 5G Launch https://t.co/wyTdfcS6w5
Mon May 07 14:44:17 +0000 2018	USTelecom Says Telecom Unbundling Regulations are Outmoded; Competitors Say They Need Those UNEs https://t.co/i3kft8cV0W
Mon May 07 14:28:13 +0000 2018	One whole year being an adult and the "summer break" tweets and pics still haven't gotten any easier 😭
Mon May 07 14:25:34 +0000 2018	Cool shot from my pal @DazedandDefuzed at the axe house https://t.co/Pa9GzvHzlx
Mon May 07 03:30:12 +0000 2018	@DevinIsaacson My mom made these pics and I didn’t
Mon May 07 03:11:55 +0000 2018	WHY DID THEY HAVE TO KILL OFF SPIDER MAN IN AVENGERS INFINITY WAR???!! (Also sorry for the spoiler)
Mon May 07 02:58:05 +0000 2018	Me ‘n my girls are pumped for dinger szn to start tomorrow!!! (also where’s the softball emoji at?) https://t.co/BDIPcaqSDO
Mon May 07 02:23:47 +0000 2018	Me at 7 y/o: bilingual, genius iq, mentally healthy, and able to do math.… https://t.co/vQVLjO4dKP
Mon May 07 01:02:27 +0000 2018	Every time I snag my acrylics on something I can feel my soul leaving my body. 
#acrylicnails https://t.co/goaI2r7dm9
Mon May 07 00:02:57 +0000 2018	My little sisters #SelfieforNash 🤣 https://t.co/yjhouYs0ZP
