Mon May 07 10:53:31 +0000 2018	RT @jlaws007: @EzekielElliott Purely awesome !! https://t.co/prvFVNDZ9k
Mon May 07 04:35:43 +0000 2018	I added a video to a @YouTube playlist https://t.co/1SxEXismdl 6. The Temper Trap - Soldier On (I Am Number Four Soundtrack)
Mon May 07 04:33:41 +0000 2018	I liked a @YouTube video https://t.co/1SxEXismdl 6. The Temper Trap - Soldier On (I Am Number Four Soundtrack)
Mon May 07 04:31:50 +0000 2018	I liked a @YouTube video https://t.co/wD96u3UaOH [I Am Number Four Soundtrack] Letters From The Sky -- Civil Twilight
Mon May 07 04:31:12 +0000 2018	I liked a @YouTube video https://t.co/iNFUyG0j0F I Am Number Four: Official Trailer 2
Mon May 07 02:40:49 +0000 2018	I liked a @YouTube video https://t.co/6cy7wD4HCm ABEL SANCHEZ "GOLOVKIN NEVER GONNA BE UNIFIED CHAMPION! SAUNDERS IS NEVER GONNA FIGHT
Mon May 07 02:37:31 +0000 2018	I liked a @YouTube video https://t.co/sDMOPHQtG0 Abel Sanchez GGG Wont Get Stripped Without Legal Fight EsNews Boxing
Mon May 07 02:36:01 +0000 2018	I liked a @YouTube video https://t.co/e2FVuW0rpo Draymond Green on death-threat tweet: ‘I hope he gets the help he needs’ | ESPN
Mon May 07 00:31:05 +0000 2018	@ATVIAssist Well I'll tell you it only happened for a couple of days and hasn't happened since my initial tweet. My… https://t.co/eVYStIkiRc
Sun May 06 04:40:49 +0000 2018	I liked a @YouTube video https://t.co/RJOL6OJexS 10 Wrestlers Who Were Hurt In Backstage Altercations
Sun May 06 04:32:30 +0000 2018	I liked a @YouTube video https://t.co/Y3atnjrBxF GGG Post fight reaction
Sat May 05 22:36:12 +0000 2018	I liked a @YouTube video https://t.co/7qWBcZdStI 10 Times Marilyn Manson Outclassed Interviewers
Sat May 05 20:11:09 +0000 2018	I liked a @YouTube video https://t.co/TCBvGwwgYX Making An $85 Guitar Play Like A $1000 Guitar
Sat May 05 20:00:28 +0000 2018	I liked a @YouTube video https://t.co/l2TuAc9Xyw How to Spot a FAKE Fender in Seconds!
Sat May 05 19:59:27 +0000 2018	I liked a @YouTube video https://t.co/ljcnfITZLd Ritchie Blackmore thanks Eric Clapton for his first Stratocaster
