Mon May 07 04:29:39 +0000 2018	RT @claydopotato: Been one of those nights for a hot minute https://t.co/BzbT2wGdIX
Mon May 07 04:27:29 +0000 2018	RT @claydopotato: Been one of those nights for a hot minute https://t.co/BzbT2wGdIX
Mon May 07 04:15:05 +0000 2018	Been one of those nights for a hot minute https://t.co/BzbT2wGdIX
Mon May 07 01:55:05 +0000 2018	@Helios8259 @DebbieMcD22 @AP Aren't we all just a cluster of cells according to "science"?
Mon May 07 00:44:57 +0000 2018	@Spencer_Hoyka4 Yes please
Mon May 07 00:40:03 +0000 2018	Some people will chop your arm off and still have the audacity to reach out to you
Sun May 06 23:41:20 +0000 2018	Drinking a Cotton Tail Pale Ale by @redharebrewing @ TheBeerHunter — https://t.co/Db8ehrIip6
Sun May 06 23:31:35 +0000 2018	Drinking a Bohemian Rapids by @IowaBrewing @ TheBeerHunter — https://t.co/asChfHEPkf
Sun May 06 22:33:11 +0000 2018	Please stop. https://t.co/HMD4RvVxk7
Sun May 06 22:01:46 +0000 2018	Cedar Falls IA Sun May 6th PM Forecast: TONIGHT Mostly Clear Lo 49 MONDAY Sunny Hi 79
Sun May 06 17:33:52 +0000 2018	RT @KChighroller: @JacobKeck is afraid to step up and play on our softball team... @barton10j @EmiWebsky @stefbreeeezy
Sun May 06 17:33:17 +0000 2018	@JacobKeck is afraid to step up and play on our softball team... @barton10j @EmiWebsky @stefbreeeezy
Sun May 06 13:30:36 +0000 2018	@Helios8259 @DebbieMcD22 @AP And that is where you are wrong again. Crazy to see all you people accepting murder in… https://t.co/4BRye01cOU
Sun May 06 03:30:49 +0000 2018	@Helios8259 @DebbieMcD22 @AP Ummm because murder is illegal?
Sun May 06 01:22:08 +0000 2018	I have never realized why Cedar Falls Police allow the drive thru line at 4 Queens to extend onto 1st.… https://t.co/gzkXAginIl
