Mon May 07 21:20:24 +0000 2018	my problem is putting others before me :///
Mon May 07 21:15:01 +0000 2018	Ya'll think it's easy making Nightcore videos!? It's not honestly!
Mon May 07 21:13:39 +0000 2018	@shanedawson I'm looking forward to it buddy!
Mon May 07 21:12:51 +0000 2018	@daddidawson Shane doing some sexy dance moves!? Lol, he's following up on all the new moves kids r doing today🤣😂
Mon May 07 21:11:55 +0000 2018	@daddidawson He looks good with his hair like that... But then again, his hair style is good now as well
Mon May 07 21:11:12 +0000 2018	@TheEllenShow Oh god! What happened this time!?
Mon May 07 21:10:28 +0000 2018	@GEN_MITTENS @ValsLife9 @SoCuteBabies I'm wearing jeans rn so ya!
Mon May 07 21:10:01 +0000 2018	Checked out Ankeny’s new @RocketFizz yesterday.. Such a cool place.. I was like a kid in a Candy Store... 👏👏🤪
Mon May 07 21:09:26 +0000 2018	@SNCKPCK Some ppl r lazy, so they decide to put our Earth through shit
Mon May 07 21:06:12 +0000 2018	We're #hiring! Read about our latest #job opening here: Hair Stylist - https://t.co/UAZ7o912mu #Cosmetology #Marshalltown, IA #CareerArc
Mon May 07 21:06:05 +0000 2018	tonight is my last night at maurices and it’s such a bittersweet feeling😭
Mon May 07 20:57:05 +0000 2018	RT @Brturo04: @xoxoxo_mariii @theflyingtwinki hehe https://t.co/KsZb88nBhJ
Mon May 07 20:55:41 +0000 2018	@xoxoxo_mariii @theflyingtwinki hehe https://t.co/KsZb88nBhJ
Mon May 07 20:49:04 +0000 2018	RT @TrooperLarson: SE Polk students learning about the dangers of drinking and driving and texting and driving! Thanks to Golf Cars Iowa fo…
Mon May 07 20:44:42 +0000 2018	@ChetChristner @jvansports It ain’t Racing if there isn’t dirt in your beer.  Change my mind!
