Mon May 07 19:50:15 +0000 2018	Facebook's having an existential crisis right now https://t.co/JgIhneWBvB
Mon May 07 19:49:56 +0000 2018	You first. #BeBest https://t.co/TyAYr0Pznw
Mon May 07 19:49:51 +0000 2018	From Larson: Prime Time is set for June 20, 24, 27 then off until July 11, 15, 18, 22 and 25. 5 regular season game… https://t.co/thhv20E6XI
Mon May 07 19:49:47 +0000 2018	if doug were a superhero his name would be Chadman
Mon May 07 19:49:36 +0000 2018	RT @Amanda_Rae_Kane: um so I realized Charlotte is the most thoughtful person in the world last night,,, she’s been carrying around an inha…
Mon May 07 19:49:26 +0000 2018	don't you dare tell me I need to get over the Rascal Flatts!!
Mon May 07 19:49:13 +0000 2018	Ahahahahaha dude fuck this
Mon May 07 19:49:08 +0000 2018	@clareity https://t.co/txqiRPc3YU
Mon May 07 19:49:07 +0000 2018	RT @uiowa: It's a Hawkeye state. 1) You'll find University of Iowa nurses in 98 counties 2) 82% of Iowa's advanced practice nurses graduate…
Mon May 07 19:48:55 +0000 2018	#BeBest 🇺🇸 https://t.co/prXcubsTR0
Mon May 07 19:48:54 +0000 2018	Randy Larson just told me the Prime Time League will start on June 20th and he expects 12 Iowa players and 12 UNI p… https://t.co/5BAbxJQS5W
Mon May 07 19:48:32 +0000 2018	Me passei no sono
Mon May 07 19:48:26 +0000 2018	Roster Announced for USA Men's U18 National Team Training Camp @AdamZagoria https://t.co/w5oxxu5OSl
Mon May 07 19:48:01 +0000 2018	Once I pick up my wipe catch me actin a fool all summer, with a bad bitch on the passenger side
Mon May 07 19:48:01 +0000 2018	@llefebure1 One can hope buster
