Mon May 07 18:56:53 +0000 2018	@DaShay_Shirley Definitely do a big rose and her name or something like that!
Mon May 07 18:46:03 +0000 2018	@MorganIngamells take a bath
Mon May 07 18:37:16 +0000 2018	@PhDSkip @DaleMurphy3 @RadtkeSports @EatAtMurphs How the hell do I get one of those!
Mon May 07 18:03:20 +0000 2018	I take too many accidental naps
Mon May 07 17:45:12 +0000 2018	@PLAY3RLXIV @Nukeemhigh57 @EndlessOvertime @kakarotforshort @MartyMcTroid @sonic_hedgehog Love this thread lmao
Mon May 07 17:39:28 +0000 2018	Want to work at Mediacom Communications? We're #hiring in #Waterloo, IA! Click for details: https://t.co/lV2zsBUHH8… https://t.co/MM0uKd7yPj
Mon May 07 17:35:14 +0000 2018	We're #hiring! Click to apply: Shift Supervisor Management Trainee - https://t.co/SNNxRLBg2G #Retail #Waterloo, IA #Job #Jobs #CareerArc
Mon May 07 17:33:50 +0000 2018	See our latest #Waterloo, IA #job and click to apply: Human Resources Manager - https://t.co/XQMGMVALVt #HR #Hiring #CareerArc
Mon May 07 17:20:10 +0000 2018	@wyattsawvel Delete your twitter account
Mon May 07 17:10:50 +0000 2018	Trash https://t.co/hw0hZFW018
Mon May 07 16:27:08 +0000 2018	Can you recommend anyone for this #job? Store Counter Sales - https://t.co/gposW7rhR7 #Waterloo, IA #Hiring #CareerArc
Mon May 07 16:04:45 +0000 2018	Happy Teacher Appreciation Week, teacher friends! 🍎✏️ https://t.co/UGpDvrtkCu
Mon May 07 15:16:03 +0000 2018	Can you recommend anyone for this #job? Pharmacy Manager - https://t.co/wOAqANPhVw #Healthcare #Waterloo, IA #Hiring #CareerArc
Mon May 07 14:17:40 +0000 2018	Mornings suck
Mon May 07 14:08:51 +0000 2018	I liked a @YouTube video https://t.co/v42kXVTgOt Bet you CAN'T name a BETTER Mustang Exhaust.. I'll wait...
