Mon May 07 17:57:07 +0000 2018	RT @_courtcoleman_: I have a sick obsession with @PostMalone 😏😍🤤
Mon May 07 17:41:03 +0000 2018	Sunset in Fort Collins, Colorado!! #wsrbio #nofilter https://t.co/61vd25yU0P
Mon May 07 17:35:27 +0000 2018	RT @carnes_sara: Sleeping with your bedroom windows open &gt;&gt;&gt;&gt;
Mon May 07 17:34:45 +0000 2018	I have a sick obsession with @PostMalone 😏😍🤤
Mon May 07 17:34:23 +0000 2018	RT @BureshEmma: i wish more people texted instead of snapchatting tbh
Mon May 07 17:26:07 +0000 2018	My ditziness sure is winning today 😂
Mon May 07 17:18:46 +0000 2018	RT @BurgLockerRoom: Nominations for JV athlete of the week
Mon May 07 17:01:05 +0000 2018	Kids in our after school program starting Trinity's 2018 community garden. They dug up the beds and planted radishe… https://t.co/Jhh7Q1JAwl
Mon May 07 16:33:32 +0000 2018	In my first week at @wcfcourier I interviewed and covered events from both of Iowa's senators (@ChuckGrassley and… https://t.co/wZczgF163X
Mon May 07 16:26:37 +0000 2018	You ever just eat a snack while you’re waiting for your lunch to cook cause same
Mon May 07 16:23:33 +0000 2018	“What ever happened to having Robinson’s” Josh Denny 2K18
Mon May 07 16:22:36 +0000 2018	“If she fucking cock blocks you. I’ll punch her in the face” Annon 2K18
Mon May 07 16:20:50 +0000 2018	@dillon_folkerts dude I talk to you everyday so idk why you're bein like this
Mon May 07 16:20:18 +0000 2018	RT @BurgLockerRoom: Another great show coming your way today at 4 pm! The guys are talking NBA playoffs after a long weekend of great games…
Mon May 07 16:15:13 +0000 2018	Check out this #Espresso Cheesecake with Chocolate Glaze from our "Brewed Awakenings" #cookbook!… https://t.co/2ujendlFet
