Thu May 03 18:36:46 +0000 2018	RT @Tri_C_Trojans: SICL art show https://t.co/v7L0LVChK1
Thu May 03 18:36:18 +0000 2018	SICL art show https://t.co/v7L0LVChK1
Thu May 03 02:35:59 +0000 2018	@ziggdogg Wanna retract that statement??? 😄😉
Thu May 03 02:22:43 +0000 2018	I saw a truck get struck by lightning the cockpit filled with smoke the windows and doors wouldn't open and a passe… https://t.co/3XzfY8w0x0
Thu May 03 00:36:51 +0000 2018	At 7:04 PM, 2 N What Cheer [Keokuk Co, IA] EMERGENCY MNGR reports TSTM WND DMG. POWER POLE BLOWN DOWN https://t.co/uOtUp7fn2G
Wed May 02 15:32:11 +0000 2018	@SteveDeaceShow So assuming soon I'll be able to purchase "boy" scout cookies?? Guess that's 1 way to collapse a monopoly..
Wed May 02 14:58:56 +0000 2018	Assuming the bride will never again forget to leave a note for @SchwansCompany to relay on me during busy planting… https://t.co/vCTzOSM3xr
Wed May 02 04:42:57 +0000 2018	@brinker19 Hey but yep, the wife and I took the 4 kids to Orlando and did Disney early this spring. I hope you guys… https://t.co/KnEPpQHnmT
Wed May 02 04:38:24 +0000 2018	@bradsburnett @brinker19 Bradley, it's only made more funny because of who owns Kermit the frog and Their placement… https://t.co/DNILinyzMa
Wed May 02 02:40:23 +0000 2018	did you know gw vetoed the stem cell bill
Wed May 02 02:02:08 +0000 2018	@brinker19  https://t.co/2wzDCPbhmb
Wed May 02 00:46:05 +0000 2018	@brinker19 Subliminal slip of the corporate logo I see in there Brinker https://t.co/wtkXanhdyB
Tue May 01 22:27:51 +0000 2018	Always place yer own vote. Just ti get it in the right ballot box, yeno? https://t.co/kUHv9idDtu
Tue May 01 14:35:13 +0000 2018	Nostalgic video gamer in me&gt; Oh He'll Ya!! Father of 4 little kids in me&gt; Probably not a wise life choice.. https://t.co/nWdKR853f0
Tue May 01 06:00:16 +0000 2018	@DCarr98 More than ever 🤘
