Mon May 07 14:02:20 +0000 2018	@DoucheVicKalb Take a stool softener ;) 💩
Mon May 07 12:34:14 +0000 2018	Should I have a Memorial Day darty?
Mon May 07 10:40:17 +0000 2018	Luckily not dead https://t.co/V4uBHOYXw1
Sun May 06 22:43:43 +0000 2018	Checked field I need to disc yet. A little wet in spots. Probably hit it Tuesday. Hoping to get it done before rain… https://t.co/1tqnVQgewV
Sun May 06 22:40:41 +0000 2018	@marklaneisu Mine is a hayrack
Sun May 06 21:07:37 +0000 2018	To all the people that walk thru my yard.. I hope you step in dog poop 😂💩
Sun May 06 17:41:43 +0000 2018	@KaitlynSteck JUST YOU.
Sun May 06 16:16:36 +0000 2018	@pedersoncasey Menards is a stressful place for me to go to. What departments things are in don't always make sense… https://t.co/3IyorKsR8s
Sun May 06 13:27:31 +0000 2018	@JennyLynnBrdar Maybe a little, I've only been at it 3 years.
Sun May 06 13:22:45 +0000 2018	@JennyLynnBrdar I haven't really crunched the numbers but in my mind if they look finished is it worth it to keep f… https://t.co/fvRP5kryxN
Sun May 06 13:19:26 +0000 2018	@JennyLynnBrdar Implanting, no optaflexx
Sun May 06 13:15:23 +0000 2018	@JennyLynnBrdar I used to get them up there. Now with the feed program I use they are looking finished at a shorter… https://t.co/U1rkfmTUUo
Sun May 06 13:12:20 +0000 2018	@JennyLynnBrdar Mine have been 1250-1450 lately.
Sun May 06 13:09:53 +0000 2018	@JennyLynnBrdar My best last week was 87.50
Sun May 06 13:07:48 +0000 2018	@randywedo57 I've had other people say they prefer holstein meat too. My pallet isn't sophisticated enough to tell… https://t.co/6L7IAiuPzj
