Mon May 07 22:45:39 +0000 2018	Ignore the Critics Do the Work  https://t.co/XWaNNjnpZS via @jongordon11
Mon May 07 22:40:23 +0000 2018	RT @AnnieClaree: @JennyMfB Lmfao hell nah 😂😂
Mon May 07 22:32:10 +0000 2018	@JennyMfB Lmfao hell nah 😂😂
Mon May 07 21:39:16 +0000 2018	Great question! If we're still planning prison beds in some states based on at-risk 2nd graders, we are committing… https://t.co/D5ivqG5IO1
Mon May 07 20:46:19 +0000 2018	12 Resources to Help You Address Mental Health in Schools ASCD Inservice https://t.co/H4vxb9qIeC #plaea #edchat
Mon May 07 20:31:50 +0000 2018	RT @herz6kids: It is interesting to me that we are willing to spend 10 times more money to incarcerate vs educate? Is that a societal choic…
Mon May 07 20:30:36 +0000 2018	@JuanCafiero_ me muero, muchas gracias juaniiii!
Mon May 07 20:14:09 +0000 2018	Improvise
Mon May 07 19:50:29 +0000 2018	RT @herz6kids: It is interesting to me that we are willing to spend 10 times more money to incarcerate vs educate? Is that a societal choic…
Mon May 07 19:19:39 +0000 2018	RT @herz6kids: It is interesting to me that we are willing to spend 10 times more money to incarcerate vs educate? Is that a societal choic…
Mon May 07 17:23:42 +0000 2018	It is interesting to me that we are willing to spend 10 times more money to incarcerate vs educate? Is that a socie… https://t.co/Pfo6ZDYP9E
Mon May 07 16:08:33 +0000 2018	@melbertregencia Tara usap tayo sa mcdo
Mon May 07 15:45:52 +0000 2018	1988 Chevrolet Corvette is now available. Take a look: https://t.co/blGwSXaW8Z
Mon May 07 14:41:59 +0000 2018	@KeenanGotTheFro He'll yeah.  Too legit to quit. https://t.co/1UKfcrwHwV
Mon May 07 14:37:58 +0000 2018	@KeenanGotTheFro Woah man, jelly beans are lit. https://t.co/3TvvuBCkF9
