Sun May 06 05:58:12 +0000 2018	RT @kayla_minor: @mmaaggggss l heart you
Sun May 06 05:56:54 +0000 2018	@mmaaggggss l heart you
Sun May 06 04:28:22 +0000 2018	“This sucker is making me dizzy” k bye @jalensnowbarger
Sat May 05 18:05:35 +0000 2018	@jalensnowbarger https://t.co/DSnEkkIWwN
Sat May 05 18:02:49 +0000 2018	Congrats to my best friend @jalensnowbarger on graduating today!! So proud of all the hard work you’ve put in 😉 now… https://t.co/4HAw8CRVQt
Sat May 05 00:40:04 +0000 2018	So far the highlight of my day has been buying a new cute bathroom trash can at Walmart for under 10 bucks....what a great day it is 🙄
Sat May 05 00:17:42 +0000 2018	Kenny Chesney can’t make a bad song.
Fri May 04 20:20:15 +0000 2018	@kaileyalexis1 Have fun!!
Fri May 04 17:36:43 +0000 2018	@jalensnowbarger https://t.co/6O1gOgrv3l
Fri May 04 17:33:45 +0000 2018	@kaileyalexis1 So worth it though!! Where are you going?!
Thu May 03 17:37:03 +0000 2018	Strong believer that contacts and glasses shouldn’t cost as much as they do. Not my fault I can’t see 🙄🙄
Mon Apr 30 17:27:38 +0000 2018	@RichMinor2 True, but I don’t know anybody who would be willing to make the monthly payment for me 😉
Mon Apr 30 16:17:48 +0000 2018	When Winter came, my defrost quit working. Now that it’s getting nice out, my air conditioning quit working. I can’t win with this car 🤦🏼‍♀️
Mon Apr 30 03:14:29 +0000 2018	Some prom dresses are fancier than wedding dresses these days. 😳
