Mon May 07 19:51:41 +0000 2018	@zach_moore17  https://t.co/XTUSLhYTwc
Mon May 07 17:14:39 +0000 2018	Meet Day!!! 🏃 🏃 🏃  🏆 on the line.  Compete with intention!  Put on a show!
Mon May 07 15:17:52 +0000 2018	@KodyMullen Approved. 👏🏻
Mon May 07 15:11:48 +0000 2018	"Don't Focus your energy on finding the right girl but focus your energy on being the right guy" is some pretty solid advice from my dad
Mon May 07 11:10:48 +0000 2018	@WeinsteinEdu Another side of this is that you have educators that will go out of their way to find this extra time… https://t.co/zhOVTyIwcB
Mon May 07 06:20:54 +0000 2018	@Ceraadi “Don’t worry, bee happy” 🐝
Mon May 07 06:18:09 +0000 2018	@KitMarie03  😭😭😭 https://t.co/6uShJYM2TM
Mon May 07 05:58:11 +0000 2018	The human body is amazing.
Mon May 07 05:57:51 +0000 2018	What I mean by that is if you usually run like hell, sometimes, your body is like “Girl, no. You are mad as fuck ri… https://t.co/OftQmuzTDF
Mon May 07 05:48:01 +0000 2018	Wait til you do that like in Texas and she fucking shoots you or anywhere in the world and you get maced. Fight or… https://t.co/9ZhCgbkPcL
Mon May 07 05:40:07 +0000 2018	@LightBlack4Eva @MadelineAndraia You’ve never experienced cramps. You’ve never bled out for weeks on end. You’ve ne… https://t.co/sEpaEK5Zzp
Mon May 07 05:38:52 +0000 2018	@LightBlack4Eva @MadelineAndraia You’re sitting here minimizing an issue when you’ve never experienced. You’re just… https://t.co/vJo3jFWYRp
Mon May 07 05:34:53 +0000 2018	@LightBlack4Eva @MadelineAndraia The difference between me, and the women from 1000 years ago is there is medical c… https://t.co/n0DQC16ZFv
Mon May 07 05:28:16 +0000 2018	@LightBlack4Eva @MadelineAndraia Also, to answer your question, if the risks were that high, my doctor would have w… https://t.co/7gXnBP39bz
Mon May 07 05:26:24 +0000 2018	@LightBlack4Eva @MadelineAndraia “Part of the week” oh boy..you’re funny. Speak on what you’ve experienced. When yo… https://t.co/665VaKh79z
